,,prix_au_m2,count,min,max,nom_commune
2820.0,Maison,1226.775333722927,11,687.5,1956.5217391304348,Saint-Erme-Outre-et-Ramecourt
2830.0,Maison,828.6944800004538,6,573.6842105263158,1539.3258426966293,Saint-Michel
2840.0,Maison,1323.2123457510534,27,698.3333333333334,2022.0183486238532,Monceau-le-Waast
2850.0,Maison,1545.6434289820638,12,616.3194444444445,3653.061224489796,Trélou-sur-Marne
2860.0,Appartement,1221.2389380530974,1,1221.2389380530974,1221.2389380530974,Presles-et-Thierny
2860.0,Maison,1652.1366702673974,27,651.7857142857143,2899.2753623188405,Bruyères-et-Montbérault
2870.0,Maison,1554.9127732979268,12,1170.886075949367,2618.75,Fourdrain
2880.0,Appartement,2803.9173971729642,5,566.6666666666666,10135.135135135135,Crouy
2880.0,Maison,1534.1508421062017,45,566.0377358490566,3142.8571428571427,Cuffies
3000.0,Appartement,1405.1428625949914,92,513.8888888888889,18333.333333333332,Moulins
3000.0,Maison,1319.575763616427,53,523.2558139534884,3146.067415730337,Moulins
3100.0,Appartement,901.6448641414855,128,503.5211267605634,8347.826086956522,Montluçon
3100.0,Maison,1135.741350970361,101,537.6344086021505,1939.655172413793,Montluçon
3110.0,Maison,1219.6686054594136,49,507.57575757575756,3983.7837837837837,Saint-Rémy-en-Rollat
3120.0,Appartement,792.956071526297,7,575.9493670886076,1556.833641025641,Arfeuilles
3120.0,Maison,1058.2245499029118,34,500.38461538461536,2775.9523809523807,Le Breuil
3130.0,Appartement,538.7062566277837,2,512.1951219512196,565.2173913043479,Le Donjon
3130.0,Maison,1177.157823301894,20,505.35714285714283,3590.1162790697676,Lenax
3140.0,Maison,1055.9857405279708,25,507.6923076923077,2294.6153846153848,Voussac
3150.0,Appartement,821.5333879765045,6,643.0379746835443,1044.6153846153845,Varennes-sur-Allier
3150.0,Maison,1000.2163460607628,33,510.0,1787.8431372549019,Saint-Gérand-le-Puy
3160.0,Appartement,645.4787955372946,3,554.8387096774194,777.2020725388601,Bourbon-l'Archambault
3160.0,Maison,1028.5691492594426,19,583.3333333333334,2133.3333333333335,Ygrande
3170.0,Maison,921.2871912695258,19,587.7551020408164,2051.948051948052,Deneuille-les-Mines
3190.0,Appartement,825.1896778883287,3,574.7126436781609,1014.4927536231884,Hérisson
3190.0,Maison,1012.9837414460994,24,565.2173913043479,2088.8888888888887,Haut-Bocage
3200.0,Appartement,1831.3657199225163,257,509.6,6311.25,Vichy
3200.0,Maison,1776.1430506935683,79,526.3157894736842,3905.9206349206347,Vichy
3210.0,Appartement,1075.268817204301,1,1075.268817204301,1075.268817204301,Souvigny
3210.0,Maison,976.9038433368703,20,523.2558139534884,1584.1584158415842,Autry-Issards
3220.0,Maison,1591.6724349715575,18,513.5869565217391,6840.0,Châtelperron
3230.0,Appartement,1304.3478260869565,1,1304.3478260869565,1304.3478260869565,Lusigny
3230.0,Maison,966.2307062850571,25,520.3488372093024,2875.0,Chevagnes
3240.0,Appartement,737.8640776699029,1,737.8640776699029,737.8640776699029,Cressanges
3240.0,Maison,921.1473487312344,9,521.978021978022,1750.0,Tronget
3250.0,Appartement,3253.5714285714284,1,3253.5714285714284,3253.5714285714284,Laprugne
3250.0,Maison,1067.3856693338641,22,523.2164179104477,2560.0,Nizerolles
3260.0,Appartement,1003.2857142857142,2,928.5714285714286,1078.0,Saint-Germain-des-Fossés
3260.0,Maison,1286.854522241761,35,559.469696969697,2574.5283018867926,Billy
3270.0,Appartement,1303.6027568922307,6,1081.578947368421,1526.3157894736842,Hauterive
3270.0,Maison,1194.8062870991087,29,578.9473684210526,2109.6153846153848,Busset
3290.0,Maison,996.0331127149036,15,515.1515151515151,1882.3529411764705,Diou
3300.0,Appartement,1326.278446475611,41,522.7272727272727,2875.0,Cusset
3300.0,Maison,1451.0311826250604,61,508.47457627118644,2586.206896551724,Cusset
3310.0,Appartement,626.8640350877193,3,531.25,736.8421052631579,Néris-les-Bains
